,id,interest_rate,balance,owner,type
0,3120106,2,20802965963.809994,1-918-970,SavingAccount
1,8014945,2,34619472790.0,9-523-732,FixedTermDeposit
2,7941212,1,9373814419.96,4-244-945,FixedTermDeposit
3,2178044,2,23545079024.829998,4-244-945,FixedTermDeposit
4,4190697,2,41261879014.64,4-244-945,SavingAccount
5,9594204,1,6938521570.039999,4-244-945,SavingAccount
6,8258885,2,19787869954.239998,7-664-265,FixedTermDeposit
7,2802589,1,28728544163.690006,4-908-967,SavingAccount
8,5565818,1,21289842620.86,4-908-967,SavingAccount
9,3130898,2,40900200132.46,2-522-166,SavingAccount
10,8684695,2,34868497597.93,2-522-166,FixedTermDeposit
11,4166799,2,8886715812.83,2-848-469,SavingAccount
12,8296359,2,3852836241.4199996,5-151-762,SavingAccount
13,7719940,1,21389063695.21,5-151-762,SavingAccount
14,1473549,1,38681852496.34998,2-547-912,SavingAccount
15,1193468,2,24183324038.889996,2-547-912,FixedTermDeposit
16,8645592,2,10874604337.18,1-821-863,SavingAccount
17,4132310,1,34547297005.86999,1-821-863,FixedTermDeposit
18,7096379,2,26452292301.9,7-765-225,SavingAccount
19,3837101,1,29266755142.56,2-862-32,SavingAccount
20,5867185,1,27418961839.58999,1-905-298,SavingAccount
21,1564041,1,22430999313.799995,1-905-298,SavingAccount
22,9230556,2,21358856885.209995,5-371-723,SavingAccount
23,1771659,1,31346602891.469997,5-371-723,SavingAccount
24,4164757,2,28646691778.090004,5-371-723,FixedTermDeposit
25,1520064,1,6183330149.42,8-858-437,SavingAccount
26,6030901,1,40645300065.41998,8-858-437,FixedTermDeposit
27,6468383,1,19846927032.379997,2-123-255,SavingAccount
28,9741998,2,17147574780.399998,4-178-969,FixedTermDeposit
29,8249708,2,32784307004.399998,6-651-443,SavingAccount
30,1560405,2,5190171464.680001,6-651-443,FixedTermDeposit
31,7371094,1,24585211602.43,4-117-458,FixedTermDeposit
32,5009383,2,9399689019.480001,1-365-227,FixedTermDeposit
33,2677707,1,26491625366.490005,1-365-227,FixedTermDeposit
34,5139465,1,24128405480.73999,1-365-227,FixedTermDeposit
35,5706543,2,21740441704.61001,6-231-65,FixedTermDeposit
36,5401776,1,10170272450.170002,10-846-861,FixedTermDeposit
37,9222290,2,5156303443.3,10-846-861,FixedTermDeposit
38,1391357,1,12935578208.030003,7-904-365,FixedTermDeposit
39,6998116,1,11176583639.779999,3-530-56,FixedTermDeposit
40,6505081,2,30274400115.829998,9-532-224,FixedTermDeposit
41,4514572,2,6469096395.08,9-532-224,FixedTermDeposit
42,4822075,2,40590618799.909996,6-489-85,SavingAccount
43,9512492,2,27070285999.75,6-489-85,SavingAccount
44,6025976,2,18853664522.950005,8-126-566,FixedTermDeposit
45,2394705,2,27112768103.249996,8-126-566,SavingAccount
46,9816381,2,45203983709.12998,8-126-566,FixedTermDeposit
47,4837940,1,13218875961.9,6-126-218,SavingAccount
48,4370529,1,10426674367.62,2-535-605,FixedTermDeposit
49,1559594,1,42350153579.02999,6-713-624,FixedTermDeposit
50,9930124,1,5391368993.7,10-640-544,FixedTermDeposit
51,4282121,1,3760634782.44,10-369-776,SavingAccount
52,5516219,2,13504370736.949999,10-369-776,SavingAccount
53,1364548,1,18170255317.99,10-369-776,SavingAccount
54,4599275,2,29489725489.760002,7-508-726,SavingAccount
55,7103465,1,20976148842.289997,4-630-695,FixedTermDeposit
56,5535329,2,3983187620.04,4-630-695,FixedTermDeposit
57,1518317,2,22653083967.42999,5-420-609,SavingAccount
58,1851204,1,41497610477.24002,5-420-609,SavingAccount
59,1068267,1,35648788471.41,5-420-609,FixedTermDeposit
60,5187374,2,20698618117.219994,3-527-848,SavingAccount
61,4177164,1,33151290444.77999,10-403-568,SavingAccount
62,4278007,1,14660482046.529995,7-925-545,SavingAccount
63,2569220,1,36410838041.6,6-912-494,SavingAccount
64,9828779,2,12704020233.61,6-912-494,SavingAccount
65,5999954,1,2750016341.32,10-782-685,FixedTermDeposit
66,4225133,1,18413042697.899994,3-379-625,SavingAccount
67,8452863,2,19972741311.399994,3-116-588,SavingAccount
68,1551904,1,5364106489.500001,3-116-588,SavingAccount
69,7354484,1,15856454518.499996,9-524-767,SavingAccount
70,3998627,2,25884453725.54999,9-958-944,FixedTermDeposit
71,2579001,2,21112589025.770008,8-610-975,SavingAccount
72,7198517,1,25313208962.810005,9-903-319,SavingAccount
73,8207571,1,10937072264.830002,9-903-319,SavingAccount
74,9435712,2,22035534793.6,10-306-735,SavingAccount
75,1524499,1,26791219048.899998,3-692-666,SavingAccount
76,9498969,1,16421988158.67,3-692-666,SavingAccount
77,3451354,1,21036380933.169994,8-687-526,FixedTermDeposit
78,5081141,1,39646035874.710014,8-687-526,FixedTermDeposit
